Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,TSLA
2022-01-03,177.93971252441406,170.4044952392578,143.802978515625,151.77001953125,144.19155883789062,323.1607971191406,399.9266662597656
2022-01-04,175.6813507080078,167.52200317382812,143.21583557128906,151.363037109375,149.6578369140625,317.61944580078125,383.1966552734375
2022-01-05,171.00827026367188,164.35699462890625,136.6456298828125,152.37168884277344,146.92178344726562,305.4267272949219,362.7066650390625
2022-01-06,168.1536102294922,163.25399780273438,136.61834716796875,151.8496551513672,148.48268127441406,303.0133361816406,354.8999938964844
2022-01-07,168.3197784423828,162.5540008544922,135.89382934570312,153.9022979736328,149.95388793945312,303.16778564453125,342.32000732421875
2022-01-10,168.3393096923828,161.48599243164062,137.53280639648438,153.14141845703125,150.09742736816406,303.38983154296875,352.7066650390625
2022-01-11,171.16470336914062,165.36199951171875,138.59054565429688,151.51345825195312,150.24990844726562,304.0752868652344,354.79998779296875
2022-01-12,171.6046600341797,165.20700073242188,140.27114868164062,150.22171020507812,151.1021270751953,307.25140380859375,368.739990234375
2022-01-13,168.3393096923828,161.21400451660156,137.4509735107422,149.3104705810547,150.91372680664062,294.2476501464844,343.85333251953125
2022-01-14,169.1996307373047,162.13800048828125,138.33712768554688,148.4964599609375,141.6380615234375,299.460693359375,349.8699951171875
2022-01-18,166.00279235839844,158.91749572753906,134.88319396972656,147.84173583984375,135.699462890625,292.1720886230469,343.5033264160156
2022-01-19,162.51263427734375,156.2989959716797,134.0089111328125,147.38168334960938,133.60032653808594,292.8284912109375,331.8833312988281
2022-01-20,160.83106994628906,151.66749572753906,132.21473693847656,146.20497131347656,132.46104431152344,291.1584777832031,332.0899963378906
2022-01-21,158.7780303955078,142.64300537109375,129.28297424316406,145.86874389648438,130.14659118652344,285.7812805175781,314.6333312988281
2022-01-24,158.00570678710938,144.54400634765625,129.73175048828125,144.18771362304688,130.03001403808594,286.1094665527344,310.0
2022-01-25,156.20684814453125,139.98599243164062,125.89448547363281,148.31068420410156,131.44735717773438,278.50225830078125,306.1333312988281
2022-01-26,156.1188507080078,138.87249755859375,128.17364501953125,148.97422790527344,132.69427490234375,286.437744140625,312.4700012207031
2022-01-27,155.6593780517578,139.6374969482422,127.94752502441406,150.92953491210938,130.3529510498047,289.45928955078125,276.3666687011719
2022-01-28,166.5209503173828,143.97799682617188,132.2578887939453,151.99124145507812,131.51913452148438,297.5878601074219,282.1166687011719
2022-01-31,170.87139892578125,149.57350158691406,134.19436645507812,152.43359375,133.3043212890625,300.2137145996094,312.239990234375
2022-02-01,170.7052001953125,151.19349670410156,136.5157012939453,151.1861114501953,135.59181213378906,298.07061767578125,310.4166564941406
2022-02-02,171.90773010253906,150.6125030517578,146.78680419921875,152.85829162597656,134.50634765625,302.60784912109375,301.88665771484375
