Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,TSLA
2022-04-07,9469.77,9259.41,9372.17,10663.8,8216.03,9021.45,8812.12
2022-04-08,9357.0,9064.34,9192.78,10684.92,8366.46,8889.74,8547.32
2022-04-11,9118.24,8868.43,8884.9,10551.15,8335.75,8539.2,8134.24
2022-04-12,9223.32,8848.8,8808.41,10554.67,8244.24,8443.41,8226.09
2022-04-13,9374.05,9127.75,8958.73,10599.26,7978.5,8609.85,8521.31
2022-04-14,9092.94,8902.73,8740.51,10554.67,7904.54,8376.66,8209.84
2022-04-18,9080.84,8966.02,8805.79,10423.25,8051.2,8397.31,8370.62
2022-04-19,9209.01,9278.83,8966.66,10741.24,8217.92,8540.4,8569.49
2022-04-20,9199.66,9037.2,8830.86,10788.76,8246.75,8572.13,8144.83
2022-04-21,9155.1,8702.59,8608.4,10757.67,8182.82,8405.99,8408.04
2022-04-22,8900.4,8471.02,8251.21,10650.89,7947.79,8203.03,8376.95
2022-04-25,8960.36,8572.19,8488.36,10913.14,7945.28,8403.3,8318.36
2022-04-26,8625.89,8180.01,8183.24,10835.11,7710.25,8088.98,7304.84
2022-04-27,8613.24,8108.18,7882.84,10683.74,7609.97,8478.14,7347.26
2022-04-28,9002.17,8485.49,8174.44,10763.54,7730.31,8670.02,7313.92
2022-04-29,8672.65,7293.32,7870.08,10587.53,7480.86,8307.51,7257.66
2022-05-02,8689.7,7306.15,8040.68,10480.75,7549.18,8515.55,7525.88
2022-05-03,8773.32,7291.68,8092.47,10460.21,7710.88,8435.03,7578.47
2022-05-04,9133.1,7389.98,8432.29,10572.27,7965.96,8680.5,7939.96
2022-05-05,8624.24,6831.22,8035.33,10370.45,7766.66,8302.42,7278.67
2022-05-06,8665.01,6735.3,7982.98,10347.57,7754.12,8223.99,7215.07
2022-05-09,8377.42,6384.16,7759.83,10403.89,7637.55,7920.15,6560.45
2022-05-10,8512.4,6388.27,7889.77,10389.81,7451.4,8067.43,6668.22
2022-05-11,8071.11,6183.64,7835.11,10333.49,7404.4,7799.51,6117.79
2022-05-12,7854.04,6275.1,7782.8,10435.57,7398.13,7643.85,6067.78
2022-05-13,8104.71,6634.51,8003.95,10375.73,7463.94,7816.58,6414.43
2022-05-16,8018.22,6502.79,7893.22,10447.89,7411.92,7827.95,6037.52
2022-05-17,8222.06,6770.27,8033.09,10491.31,7657.6,7987.21,6347.91
2022-05-18,7758.18,6285.78,7717.66,10296.53,7526.61,7623.55,5916.17
2022-05-19,7567.01,6297.9,7613.14,10205.0,7415.05,7595.35,5912.92
2022-05-20,7580.23,6313.86,7511.34,10383.35,7354.26,7577.94,5533.51
2022-05-23,7884.34,6311.86,7689.28,10595.33,7809.28,7820.68,5625.2
2022-05-24,7732.83,6108.99,7308.7,10711.06,7919.58,7789.78,5235.63
2022-05-25,7741.65,6265.97,7297.32,10605.96,7974.74,7876.79,5491.01
2022-05-26,7921.25,6518.46,7434.4,10596.51,8112.62,7978.2,5898.83
2022-05-27,8244.1,6757.25,7746.42,10692.76,8227.32,8198.44,6331.41
2022-05-31,8200.02,7054.36,7846.11,10600.65,8287.48,8157.33,6319.99
2022-06-01,8192.86,7140.89,7855.08,10493.18,8142.08,8173.83,6170.88
2022-06-02,8330.59,7365.47,8112.37,10460.12,8273.07,8238.64,6459.52
2022-06-03,8009.4,7179.97,7899.84,10417.01,8157.75,8101.82,5863.99
2022-06-06,8051.27,7323.16,8057.06,10415.83,8130.8,8063.72,5958.09
2022-06-07,8192.86,7218.12,8079.75,10530.38,8152.11,8176.24,5973.26
2022-06-08,8151.54,7111.31,8082.82,10467.79,8022.37,8113.52,6047.78
2022-06-09,7858.45,6816.13,7920.15,10257.0,7853.78,7944.9,5993.77
2022-06-10,7554.89,6434.69,7666.76,10188.5,7492.77,7590.85,5806.81
2022-06-13,7265.65,6083.76,7337.84,10085.76,7269.65,7268.9,5394.41
2022-06-14,7314.13,6003.95,7360.12,9931.06,7148.68,7335.81,5523.26
2022-06-15,7461.23,6318.5,7570.41,10037.34,7233.3,7553.94,5826.07
2022-06-16,7165.38,6083.17,7313.08,10042.66,7109.2,7350.21,5328.48
2022-06-17,7248.02,6233.4,7389.64,10006.05,7084.13,7430.62,5419.99
2022-06-21,7485.47,6377.77,7693.14,10215.66,7259.62,7613.35,5927.0
2022-06-22,7456.82,6393.61,7689.24,10376.86,7218.88,7595.05,5903.25
2022-06-23,7617.69,6598.42,7741.28,10608.32,7139.91,7766.97,5877.83
2022-06-24,7804.46,6834.33,8136.68,10763.62,7353.0,8032.21,6143.79
2022-06-27,7804.46,6644.19,7988.99,10753.58,7294.09,7947.9,6124.12
2022-06-28,7571.96,6302.65,7725.11,10447.72,7258.99,7695.56,5817.65
2022-06-29,7670.58,6391.85,7704.0,10450.67,7226.4,7808.98,5713.3
2022-06-30,7532.3,6232.82,7515.13,10481.37,7057.81,7706.06,5612.86
